
running 311 tests
test evaluate::environment::fun_scope::test::pipe::pipe_with_no_args_returns_nil ... ok
test evaluate::environment::fun_scope::test::procedural::procedural_with_no_args_returns_nil ... ok
test evaluate::environment::fun_scope::test::pipe::pipe_works ... ok
test evaluate::environment::fun_scope::test::procedural::procedural_returns_result_of_last_evaluated_list ... ok
test evaluate::environment::fun_scope::test::pipe::pipe_returns_result_of_only_arg_when_arg_is_atom ... ok
test evaluate::environment::mccarthy_scope::test::and::and_ignores_extra_args ... ok
test evaluate::environment::mccarthy_scope::test::and::and_is_valid_code ... ok
test evaluate::environment::mccarthy_scope::test::and::and_returns_nil_when_passed_1_args ... ok
test evaluate::environment::mccarthy_scope::test::and::and_returns_nil_when_passed_1_non_nil_and_1_nil_args ... ok
test evaluate::environment::mccarthy_scope::test::and::and_returns_nil_when_passed_no_args ... ok
test evaluate::environment::mccarthy_scope::test::atom::atom_returns_1_when_called_on_nil ... ok
test evaluate::environment::mccarthy_scope::test::atom::atom_returns_1_when_called_on_number ... ok
test evaluate::environment::mccarthy_scope::test::atom::atom_returns_1_when_called_on_string ... ok
test evaluate::environment::mccarthy_scope::test::atom::atom_returns_1_when_called_on_symbol ... ok
test evaluate::environment::mccarthy_scope::test::atom::atom_returns_nil_when_called_on_function ... ok
test evaluate::environment::mccarthy_scope::test::atom::atom_returns_nil_when_called_on_list ... ok
test evaluate::environment::mccarthy_scope::test::atom::atom_returns_nil_when_called_on_macro ... ok
test evaluate::environment::mccarthy_scope::test::and::and_returns_second_arg_when_passed_2_non_nil_args ... ok
test evaluate::environment::mccarthy_scope::test::and::and_returns_nil_when_passed_2_nil_args ... ok
test evaluate::environment::mccarthy_scope::test::atom::atom_returns_nil_when_called_on_quote ... ok
test evaluate::environment::mccarthy_scope::test::atom::atom_returns_nil_when_called_on_rust_macro ... ok
test evaluate::environment::mccarthy_scope::test::car::car_returns_first_item_in_list_of_1 ... ok
test evaluate::environment::mccarthy_scope::test::car::car_returns_first_item_in_list_of_2 ... ok
test evaluate::environment::mccarthy_scope::test::car::car_returns_first_item_in_list_of_3 ... ok
test evaluate::environment::mccarthy_scope::test::car::car_returns_first_item_in_list_starting_with_list ... ok
test evaluate::environment::mccarthy_scope::test::car::car_returns_item_in_car_slot_when_called_on_cons_cell ... ok
test evaluate::environment::mccarthy_scope::test::car::car_returns_nil_from_atom ... ok
test evaluate::environment::mccarthy_scope::test::car::car_returns_nil_from_list_starting_with_nil ... ok
test evaluate::environment::mccarthy_scope::test::car::car_returns_nil_from_nil ... ok
test evaluate::environment::mccarthy_scope::test::cdr::cdr_returns_item_in_cdr_slot_when_called_on_cons_cell ... ok
test evaluate::environment::mccarthy_scope::test::cdr::cdr_returns_list_of_1_nil_when_called_on_list_of_2_nils ... ok
test evaluate::environment::mccarthy_scope::test::cdr::cdr_returns_list_of_2_last_items_when_called_on_list_of_3 ... ok
test evaluate::environment::mccarthy_scope::test::cdr::cdr_returns_list_of_last_item_when_called_on_list_of_2 ... ok
test evaluate::environment::mccarthy_scope::test::cdr::cdr_returns_nil_when_called_on_atom ... ok
test evaluate::environment::mccarthy_scope::test::cdr::cdr_returns_nil_when_called_on_list_of_1 ... ok
test evaluate::environment::mccarthy_scope::test::cdr::cdr_returns_nil_when_called_on_nil ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_blank_string_to_be_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_blank_symbol_to_be_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_function_to_be_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_list_to_be_truthy ... ok
test evaluate::environment::mccarthy_scope::test::atom::atom_returns_nil_when_called_on_rust_lambda ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_macro_to_be_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_nil_to_be_falsey ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_number_to_be_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_rust_function_to_be_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_rust_macro_to_be_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_symbol_to_be_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_quote_to_be_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_string_to_be_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_evaluates_to_2nd_val_when_1st_predicate_is_nil_and_2nd_is_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_evaluates_to_2nd_val_when_1st_predicate_is_nil_and_2nd_and_3rd_are_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_considers_zero_to_be_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_evaluates_to_3rd_val_when_1st_and_2nd_predicate_are_nil_and_3rd_is_truthy ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_evaluates_to_first_val_when_first_predicate_is_true_with_1_branch ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_evaluates_to_first_val_when_first_predicate_is_truthy_with_multi_branch ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_evaluates_to_nil_when_only_predicate_is_nil ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_returns_nil_when_called_with_no_args ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_returns_nil_when_truthy_predicate_does_not_have_expression_following_it ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_returns_nil_when_truthy_predicate_has_expression_that_returns_nil ... ok
test evaluate::environment::mccarthy_scope::test::cons::cons_creates_new_cons_cell_from_args ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_returns_second_arg_expression_value_when_truthy_predicate_is_followed_by_multiple_arguments ... ok
test evaluate::environment::mccarthy_scope::test::cond::cond_evaluates_to_nil_when_all_3_predicates_are_nil ... ok
test evaluate::environment::mccarthy_scope::test::cons::cons_creates_new_cons_cell_from_no_arg ... ok
test evaluate::environment::mccarthy_scope::test::cons::cons_creates_new_cons_cell_from_single_arg ... ok
test evaluate::environment::mccarthy_scope::test::cons::cons_creates_new_cons_cell_when_first_arg_is_list ... ok
test evaluate::environment::mccarthy_scope::test::cons::cons_creates_new_cons_cell_when_second_arg_is_an_atom ... ok
test evaluate::environment::mccarthy_scope::test::cons::cons_creates_new_cons_cell_when_first_arg_is_nil ... ok
test evaluate::environment::mccarthy_scope::test::defun::defun_adds_function_to_global_scope_with_nil_def_when_missing_def ... ok
test evaluate::environment::mccarthy_scope::test::defun::defun_adds_function_with_nil_def_and_args_to_global_scope_when_missing_def_and_args ... ok
test evaluate::environment::mccarthy_scope::test::defun::defun_adds_well_formed_function_to_global_scope ... ok
test evaluate::environment::mccarthy_scope::test::defun::defun_can_define_lambda_with_no_args ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_ignores_args_past_2nd ... ok
test evaluate::environment::mccarthy_scope::test::defun::defun_does_nothing_when_missing_function_name ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_1_when_comparing_one_nil ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_1_when_called_with_no_args ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_1_when_comparing_two_nil ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_1_when_comparing_two_same_numbers ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_1_when_comparing_two_same_quote ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_1_when_comparing_two_same_strings ... ok
test evaluate::environment::mccarthy_scope::test::cons::cons_creates_new_cons_cell_when_second_arg_is_list_of_multiple_items ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_1_when_passed_2_samey_lists ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_1_when_comparing_two_same_symbols ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_called_on_diff_types ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_called_on_rust_function ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_called_on_macro ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_comparing_one_number ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_called_on_rust_macro ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_comparing_one_string ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_comparing_one_symbol ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_comparing_two_diff_quote ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_comparing_one_quote ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_comparing_two_diff_strings ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_comparing_two_diff_symbols ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_comparing_two_diff_numbers ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_passed_2_different_lists ... ok
test evaluate::environment::mccarthy_scope::test::equal::equal_returns_nil_when_first_or_second_arg_is_function ... ok
test evaluate::environment::mccarthy_scope::test::all_mccarthy_functions_are_defined ... FAILED
test evaluate::environment::mccarthy_scope::test::label::label_missing_all_args_returns_nil ... FAILED
test evaluate::environment::mccarthy_scope::test::label::correctly_formed_returns_label ... FAILED
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_1_arg_and_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_2_arg_and_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_2_arg_and_function_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_2_arg_and_macro_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_2_arg_and_nil_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_2_arg_and_no_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_2_arg_and_number_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_2_arg_and_quote_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_2_arg_and_rust_function_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_2_arg_and_rust_macro_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_2_arg_and_string_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_2_arg_and_symbol_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_3_arg_and_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_no_args_and_no_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::label::label_with_non_symbol_arg2_returns_nil ... FAILED
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_non_list_args_returns_function_that_takes_no_args ... ok
test evaluate::environment::mccarthy_scope::test::label::label_with_non_procedure_arg3_returns_nil ... FAILED
test evaluate::environment::mccarthy_scope::test::not::not_is_valid_code ... ok
test evaluate::environment::mccarthy_scope::test::lambda::lambda_with_0_arg_and_def_produces_function ... ok
test evaluate::environment::mccarthy_scope::test::not::not_returns_1_when_passed_nil_arg ... ok
test evaluate::environment::mccarthy_scope::test::not::not_ignnotes_extra_args ... ok
test evaluate::environment::mccarthy_scope::test::nil::nil_is_empty_list ... ok
test evaluate::environment::mccarthy_scope::test::not::not_returns_nil_when_passed_non_nil_arg ... ok
